	Chitin1	Chitin2	Chitin3	Chitin4	Chitin5	Chitin6	Xylan1	Xylan2	Xylan3	Xylan4	Xylan5	Xylan6
Chitin1	*	0.513045	0.0583224	0.0487428	-0.0974523	0.574427	-0.196869	-0.158232	-0.130329	-0.129735	-0.14655	-0.109089
Chitin2		*	0.164116	0.238712	0.111415	0.393193	-0.226477	-0.181377	-0.150128	-0.148726	-0.167286	-0.124715
Chitin3			*	0.506334	0.220965	-0.0731152	0.00506206	-0.112629	-0.095556	-0.105977	-0.123012	-0.0886949
Chitin4				*	0.165135	0.0170265	-0.0186941	-0.170761	-0.136913	-0.0794735	-0.119984	-0.0939839
Chitin5					*	0.0562112	-0.152108	-0.142463	-0.136427	-0.118972	-0.142693	-0.110543
Chitin6						*	-0.264142	-0.216143	-0.182769	-0.18761	-0.200166	-0.157668
Xylan1							*	0.597555	0.622286	0.646568	0.276201	0.669248
Xylan2								*	0.833573	0.77568	0.401081	0.855519
Xylan3									*	0.918259	0.717951	0.941355
Xylan4										*	0.613621	0.970334
Xylan5											*	0.531451
Xylan6												*
